iter	Logloss
0	0.5985585424
1	0.5423040659
2	0.5029255012
3	0.4714952336
4	0.4356184529
5	0.4143232463
6	0.3900324636
7	0.3710539629
8	0.3215372192
9	0.3137312042
10	0.3052938121
11	0.2983867045
12	0.28086023
13	0.252930083
14	0.2340615851
15	0.2258228755
16	0.216910938
17	0.2088547154
18	0.1994034807
19	0.1934108457
20	0.1891008891
21	0.1851008321
22	0.173074931
23	0.1700412084
24	0.1673355825
25	0.1618787949
26	0.1570345463
27	0.1516833338
28	0.1463278139
29	0.1399525105
30	0.137024652
31	0.1326540716
32	0.1281519914
33	0.1251516455
34	0.1214829977
35	0.1161982001
36	0.1122246117
37	0.1107707479
38	0.1087104109
39	0.1072002053
40	0.1063708221
41	0.1055285003
42	0.1042401936
43	0.1028168369
44	0.1014743094
45	0.09790024575
46	0.09650527388
47	0.09537939089
48	0.0929105174
49	0.08977908416
50	0.08923268753
51	0.08820533209
52	0.08724104063
53	0.08519223545
54	0.08227375669
55	0.08030817819
56	0.07916757043
57	0.07884293015
58	0.07822818897
59	0.07745268535
60	0.07544932916
61	0.07321248193
62	0.07262872947
63	0.07195103481
64	0.07104215146
65	0.07049201268
66	0.06996201661
67	0.06919589666
68	0.06858662558
69	0.0679668826
70	0.06734660625
71	0.06651333919
72	0.06546238342
73	0.06408059026
74	0.06249334534
75	0.06092385289
76	0.05957252276
77	0.05932953157
78	0.05867112274
79	0.05827138937
80	0.05781042312
81	0.05748333623
82	0.05714515532
83	0.05697765357
84	0.05677010243
85	0.05659591753
86	0.05646037286
87	0.05550440865
88	0.05530167462
89	0.05510978211
90	0.05489699711
91	0.05462864131
92	0.05452597007
93	0.0542049547
94	0.05401511754
95	0.05356457085
96	0.05345957643
97	0.05305784703
98	0.05275738864
99	0.05261267921
100	0.05248653346
101	0.05230509951
102	0.05214751184
103	0.05198708818
104	0.05180666132
105	0.05147641064
106	0.05122978701
107	0.05109977698
108	0.05098811157
109	0.0509117145
110	0.05034812198
111	0.05026848626
112	0.05004900095
113	0.04987328592
114	0.04966460821
115	0.04958266269
116	0.04951015259
117	0.04934982912
118	0.04926231003
119	0.04909157518
120	0.0486682108
121	0.04853873362
122	0.04844975626
123	0.04839299234
124	0.04819994651
125	0.0481092983
126	0.04798585813
127	0.04777553243
128	0.04741752536
129	0.04728894304
130	0.04705382877
131	0.04649810602
132	0.04604188367
133	0.04543366149
134	0.04537596902
135	0.04497862186
136	0.04490342239
137	0.04480717799
138	0.0444808423
139	0.04427325384
140	0.04395098272
141	0.04353461049
142	0.04345041438
143	0.04337958652
144	0.04326563343
145	0.04317519333
146	0.04305129575
147	0.04292086302
148	0.0428569196
149	0.04275951702
150	0.04260245225
151	0.04253071871
152	0.04235484265
153	0.04218549297
154	0.04207153703
155	0.04199089825
156	0.04194862787
157	0.04189296921
158	0.04171276213
159	0.0416397661
160	0.04157127013
161	0.04145399549
162	0.04139630154
163	0.04126060367
164	0.04120076564
165	0.04111693057
166	0.0410215694
167	0.04098195545
168	0.04090031393
169	0.04082282064
170	0.04071792111
171	0.04065032373
172	0.04059848819
173	0.04053869445
174	0.04049949027
175	0.04041842737
176	0.04037333094
177	0.04026230192
178	0.04010148031
179	0.04005373603
180	0.03998639668
181	0.03974986181
182	0.03960919466
183	0.03956276618
184	0.03932508041
185	0.03922074067
186	0.0391745709
187	0.03898968337
188	0.03892192214
189	0.0388316749
190	0.03870192423
191	0.03862953565
192	0.03856317518
193	0.0385074036
194	0.03846506105
195	0.03839727143
196	0.03832696325
197	0.03814348698
198	0.03811215981
199	0.03800131075
200	0.03796036272
201	0.03792782885
202	0.03789560065
203	0.03779801318
204	0.03776838609
205	0.0377383976
206	0.03763186576
207	0.03758285267
208	0.03755441084
209	0.03749910348
210	0.03729999003
211	0.03727303355
212	0.03723751555
213	0.03721711647
214	0.0371410338
215	0.03708369056
216	0.03706321258
217	0.03685646556
218	0.03678184491
219	0.03676220029
220	0.03672776705
221	0.03667186536
222	0.03662265843
223	0.03659702059
224	0.03655869464
225	0.03652933687
226	0.03650777345
227	0.03642613846
228	0.03639463576
229	0.0363004069
230	0.03622530907
231	0.03618750143
232	0.03616120352
233	0.03610943517
234	0.03601725119
235	0.035939702
236	0.03591223088
237	0.03587044167
238	0.03585437501
239	0.03579806845
240	0.03572259709
241	0.03568395885
242	0.03560852744
243	0.03556607378
244	0.03553636685
245	0.03549900017
246	0.03545855021
247	0.03540294143
248	0.03535788329
249	0.03533447199
250	0.03530877011
251	0.03525880866
252	0.03523944449
253	0.03519558542
254	0.03517370061
255	0.03513811773
256	0.03512458889
257	0.03510232751
258	0.03506493697
259	0.03505195872
260	0.03500152314
261	0.03495962599
262	0.03494047681
263	0.03490712548
264	0.03486456538
265	0.03480129901
266	0.03470655768
267	0.03466143501
268	0.03464734893
269	0.03463282044
270	0.03460474744
271	0.0345909595
272	0.03452405591
273	0.0344993955
274	0.03446356096
275	0.03444993685
276	0.03440930658
277	0.03430256861
278	0.03429023327
279	0.03426166648
280	0.03423912798
281	0.03419538395
282	0.03414300411
283	0.03408887688
284	0.03401979425
285	0.03395716313
286	0.03390318945
287	0.03379357565
288	0.03378185045
289	0.03374506729
290	0.03370440779
291	0.03367768864
292	0.03365604188
293	0.03363239172
294	0.03360955922
295	0.03356172238
296	0.03352759898
297	0.03348964097
298	0.03345318081
299	0.03342835986
